in s,C2 in V
-2.598760E-04,1.83105E+00
-2.598728E-04,1.83105E+00
-2.598696E-04,1.81152E+00
-2.598664E-04,1.83105E+00
-2.598632E-04,1.83105E+00
-2.598600E-04,1.81152E+00
-2.598568E-04,1.80176E+00
-2.598536E-04,1.83105E+00
-2.598504E-04,1.83105E+00
-2.598472E-04,1.81152E+00
-2.598440E-04,1.85059E+00
-2.598408E-04,1.82129E+00
-2.598376E-04,1.82129E+00
-2.598344E-04,1.80176E+00
-2.598312E-04,1.82129E+00
-2.598280E-04,1.84082E+00
-2.598248E-04,1.80176E+00
-2.598216E-04,1.81152E+00
-2.598184E-04,1.79199E+00
-2.598152E-04,1.82129E+00
-2.598120E-04,1.79199E+00
-2.598088E-04,1.83105E+00
-2.598056E-04,1.83105E+00
-2.598024E-04,1.83105E+00
-2.597992E-04,1.79199E+00
-2.597960E-04,1.84082E+00
-2.597928E-04,1.81152E+00
-2.597896E-04,1.83105E+00
-2.597864E-04,1.83105E+00
-2.597832E-04,1.82129E+00
-2.597800E-04,1.82129E+00
-2.597768E-04,1.85059E+00
-2.597736E-04,1.84082E+00
-2.597704E-04,1.80176E+00
-2.597672E-04,1.79199E+00
-2.597640E-04,1.83105E+00
-2.597608E-04,1.82129E+00
-2.597576E-04,1.82129E+00
-2.597544E-04,1.83105E+00
-2.597512E-04,1.83105E+00
-2.597480E-04,1.79199E+00
-2.597448E-04,1.81152E+00
-2.597416E-04,1.79199E+00
-2.597384E-04,1.81152E+00
-2.597352E-04,1.83105E+00
-2.597320E-04,1.83105E+00
-2.597288E-04,1.83105E+00
-2.597256E-04,1.84082E+00
-2.597224E-04,1.80176E+00
-2.597192E-04,1.82129E+00
-2.597160E-04,1.83105E+00
-2.597128E-04,1.86035E+00
-2.597096E-04,1.81152E+00
-2.597064E-04,1.86035E+00
-2.597032E-04,1.82129E+00
-2.597000E-04,1.80176E+00
-2.596968E-04,1.82129E+00
-2.596936E-04,1.83105E+00
-2.596904E-04,1.85059E+00
-2.596872E-04,1.83105E+00
-2.596840E-04,1.84082E+00
-2.596808E-04,1.86035E+00
-2.596776E-04,1.83105E+00
-2.596744E-04,1.82129E+00
-2.596712E-04,1.82129E+00
-2.596680E-04,1.83105E+00
-2.596648E-04,1.82129E+00
-2.596616E-04,1.79199E+00
-2.596584E-04,1.82129E+00
-2.596552E-04,1.80176E+00
-2.596520E-04,1.80176E+00
-2.596488E-04,1.81152E+00
-2.596456E-04,1.85059E+00
-2.596424E-04,1.80176E+00
-2.596392E-04,1.78223E+00
-2.596360E-04,1.83105E+00
-2.596328E-04,1.81152E+00
-2.596296E-04,1.83105E+00
-2.596264E-04,1.82129E+00
-2.596232E-04,1.80176E+00
-2.596200E-04,1.82129E+00
-2.596168E-04,1.83105E+00
-2.596136E-04,1.83105E+00
-2.596104E-04,1.83105E+00
-2.596072E-04,1.82129E+00
-2.596040E-04,1.83105E+00
-2.596008E-04,1.80176E+00
-2.595976E-04,1.83105E+00
-2.595944E-04,1.82129E+00
-2.595912E-04,1.82129E+00
-2.595880E-04,1.83105E+00
-2.595848E-04,1.85059E+00
-2.595816E-04,1.79199E+00
-2.595784E-04,1.85059E+00
-2.595752E-04,1.80176E+00
-2.595720E-04,1.84082E+00
-2.595688E-04,1.79199E+00
-2.595656E-04,1.82129E+00
-2.595624E-04,1.83105E+00
-2.595592E-04,1.81152E+00
-2.595560E-04,1.81152E+00
-2.595528E-04,1.81152E+00
-2.595496E-04,1.82129E+00
-2.595464E-04,1.82129E+00
-2.595432E-04,1.85059E+00
-2.595400E-04,1.82129E+00
-2.595368E-04,1.83105E+00
-2.595336E-04,1.83105E+00
-2.595304E-04,1.82129E+00
-2.595272E-04,1.83105E+00
-2.595240E-04,1.80176E+00
-2.595208E-04,1.82129E+00
-2.595176E-04,1.80176E+00
-2.595144E-04,1.83105E+00
-2.595112E-04,1.79199E+00
-2.595080E-04,1.80176E+00
-2.595048E-04,1.77246E+00
-2.595016E-04,1.82129E+00
-2.594984E-04,1.83105E+00
-2.594952E-04,1.79199E+00
-2.594920E-04,1.86035E+00
-2.594888E-04,1.85059E+00
-2.594856E-04,1.84082E+00
-2.594824E-04,1.83105E+00
-2.594792E-04,1.81152E+00
-2.594760E-04,1.83105E+00
-2.594728E-04,1.81152E+00
-2.594696E-04,1.82129E+00
-2.594664E-04,1.78223E+00
-2.594632E-04,1.84082E+00
-2.594600E-04,1.82129E+00
-2.594568E-04,1.83105E+00
-2.594536E-04,1.82129E+00
-2.594504E-04,1.85059E+00
-2.594472E-04,1.83105E+00
-2.594440E-04,1.85059E+00
-2.594408E-04,1.84082E+00
-2.594376E-04,1.83105E+00
-2.594344E-04,1.84082E+00
-2.594312E-04,1.78223E+00
-2.594280E-04,1.84082E+00
-2.594248E-04,1.83105E+00
-2.594216E-04,1.83105E+00
-2.594184E-04,1.83105E+00
-2.594152E-04,1.82129E+00
-2.594120E-04,1.82129E+00
-2.594088E-04,1.82129E+00
-2.594056E-04,1.82129E+00
-2.594024E-04,1.82129E+00
-2.593992E-04,1.83105E+00
-2.593960E-04,1.80176E+00
-2.593928E-04,1.83105E+00
-2.593896E-04,1.80176E+00
-2.593864E-04,1.82129E+00
-2.593832E-04,1.83105E+00
